id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1301562224603144832,Twin room design by Pierre-Yves Rochon in CWB,6763017,Hoi Yan Sarina,,Wan Chai,22.2783,114.18771,Private room,,3,0,,,199,90,0,
1301580638638230516,Spacious One bedroom suite in Sheung Wan,6763017,Hoi Yan Sarina,,Central & Western,22.286472913188955,114.14940199881234,Entire home/apt,,15,0,,,199,365,0,
1301588224653108579,Spacious one bedroom elegant suite in Sheung wan,6763017,Hoi Yan Sarina,,Central & Western,22.286639718358114,114.15046983201611,Entire home/apt,,15,0,,,199,365,0,
1301597553561524241,Wooden Cozy Retreat 1 Bedroom Oasis,6763017,Hoi Yan Sarina,,Wan Chai,22.27598,114.17285,Entire home/apt,2291,30,0,,,199,363,0,
1301616179099995924,Wooden cozy studio flat in wan chai,6763017,Hoi Yan Sarina,,Wan Chai,22.275877056840976,114.17224149048424,Entire home/apt,1370,30,0,,,199,363,0,
1301759738735967583,Prestigious Skyline Deluxe 1 room apartment,6763017,Hoi Yan Sarina,,Central & Western,22.27542691536127,114.15480839427822,Entire home/apt,2411,3,0,,,199,364,0,
1301769407879753870,舒適三人房｜尖沙咀地鐵口｜交通便利|獨立衛生間,475619185,Emily,,Yau Tsim Mong,22.2979041,114.1753096,Private room,511,1,1,2025-06-07,1,27,355,1,
1301977584430011967,香港大学附近 私人公寓,25470312,Rui,,Central & Western,22.28454,114.13751,Entire home/apt,731,1,0,,,1,88,0,
1302707618412323434,"""SPACO"" KT multifunction bbq sea view",60588722,Kenneth Song Min,,Kwun Tong,22.311024281249193,114.22023669789604,Entire home/apt,2555,1,0,,,15,365,0,
1303219305645492117,旺角單人床套房獨立衛浴,50172398,Gloria,,Yau Tsim Mong,22.320422787689342,114.1675396390082,Private room,232,28,1,2024-12-31,0.17,32,351,1,
1303305936988145847,深水埗藝術文創區靚裝輕奢北歐風sharehouse Room G,566359630,Kit Chi,,Sham Shui Po,22.327475,114.163532,Private room,201,28,0,,,9,294,0,
1303581377557991603,Shared room w/ 3 others near MTR,4584648,Ivy,,Yau Tsim Mong,22.326196081792855,114.16702270067071,Private room,86,29,0,,,351,364,0,
